gene	m
ALDOA	8
ALDOB	69
ALG1	47
ALG10	1
ALG10B	3
ALG11	20
ALG12	16
ALG13	15
ALG14	7
ALG2	7
ALG3	23
ALG6	27
ALG8	23
ALG9	4
ALK	16
ALKBH3	2
ALKBH4	1
ALKBH8	2
ALMS1	324
ALOX12	1
ALOX12B	81
ALOX15	10
ALOX15B	1
ALOX5	5
ALOX5AP	3
alox5api2	1
ALOXE3	25
aloxe3tv1	4
ALPG	2
ALPI	6
ALPK1	4
ALPK2	5
ALPK3	8
ALPL	305
ALPP	2
ALS2	83
ALS2CL	1
ALX1	5
ALX3	8
ALX4	28
AMACR	14
AMBN	13
AMBP	1
AMBRA1	4
AMD1	3
AMELX	28
AMELY	2
AMER1	43
AMER2	1
AMFR	1
AMH	98
AMHR2	97
AMMECR1	7
AMN	36
AMOT	2
AMOTL1	3
AMPD1	13
AMPD2	24
AMPD3	11
AMT	97
AMTN	1
AMY1A	1
AMY2B	1
AMZ1	2
AMZ2	1
ANAPC1	4
ANAPC10	2
ANAPC2	1
ANAPC5	3
ANAPC7	1
ANG	42
ANGPT1	5
ANGPT2	5
ANGPTL2	1
ANGPTL3	53
ANGPTL4	24
ANGPTL5	4
ANGPTL6	4
ANGPTL8	2
ANHX	2
ANK1	148
ank1tv10	2
ANK2	131
ANK3	21
ank3tv2	1
ANKDD1B	2
ANKFN1	1
ANKFY1	2
ANKH	22
ANKHD1	2
ANKK1	13
ANKLE1	2
ANKLE2	4
ANKRD1	25
ANKRD11	148
ankrd11tv1	17
ANKRD12	2
ANKRD13A	1
ANKRD13B	1
ANKRD13C	1
ANKRD13D	1
ANKRD16	1
ANKRD17	4
ANKRD18A	1
ANKRD22	1
ANKRD23	1
ANKRD24	1
ANKRD26	24
ANKRD30B	1
ANKRD31	2
ANKRD36	1
ANKRD36B	1
ANKRD36C	1
ANKRD44	1
ANKRD50	3
ANKRD6	8
ANKS1A	3
ANKS1B	13
anks1btv2	1
ANKS3	3
ANKS6	14
ANKZF1	5
ANLN	6
ANO10	29
ANO2	3
ANO3	31
ANO5	170
ANO6	6
ANO7	1
