gene	m
CFAP46	1
CFAP47	1
CFAP52	1
CFAP53	4
CFAP54	1
CFAP57	2
CFAP58	1
CFAP61	1
CFAP65	3
cfap65tv2	1
CFAP69	4
CFAP70	1
CFAP74	2
CFB	29
CFC1	23
CFD	3
CFDP1	2
CFH	358
CFHR1	18
CFHR2	7
CFHR3	9
CFHR4	5
CFHR5	41
cfhtv2	1
CFI	164
CFL2	9
CFLAR	2
cflartv7	2
CFP	19
CFTR	1908
CGA	1
CGB3	3
CGGBP1	1
CGNL1	5
CGRRF1	1
CH25H	4
CHAD	1
CHADL	1
CHAF1A	2
CHAF1B	2
CHAMP1	21
CHAT	77
chattvs	3
CHCHD10	28
chchd10tv1	2
CHCHD2	14
CHD1	8
CHD1L	19
CHD2	91
CHD3	29
CHD4	35
CHD5	4
CHD6	3
CHD7	925
chd7tv2	1
CHD8	130
CHD9	2
CHDH	2
CHEK1	1
CHEK2	342
CHERP	2
CHFR	1
CHGA	7
CHGB	8
CHI3L1	5
CHI3L2	1
CHIA	8
CHIC1	1
CHID1	1
CHIT1	8
CHKB	29
CHL1	14
CHM	310
CHMP1A	3
chmp1ai1	1
CHMP2A	3
CHMP2B	25
CHMP3	1
CHMP4B	3
CHMP4C	1
CHN1	11
CHN2	2
CHP2	1
CHPF2	1
CHRD	2
CHRDL1	22
CHRFAM7A	1
CHRM1	3
CHRM2	3
CHRM3	8
CHRM4	1
CHRNA1	36
CHRNA10	1
chrna1tv1	1
CHRNA2	14
CHRNA3	10
CHRNA4	32
CHRNA5	10
CHRNA6	13
CHRNA7	62
CHRNA9	4
CHRNB1	11
CHRNB2	14
CHRNB3	7
CHRNB4	11
CHRND	30
CHRNE	142
CHRNG	37
CHST11	4
CHST14	22
CHST2	1
CHST3	41
CHST6	180
CHST8	3
CHST9	1
CHSY1	17
CHTF18	1
CHTOP	1
CHUK	5
CIAO1	1
CIAO3	1
CIB1	5
CIB2	20
CIB3	1
CIC	11
cictv1	2
CIDEA	1
CIDEC	1
CIITA	21
CILK1	17
CILP	1
CILP2	1
CINP	2
CIP2A	1
CIR1	2
CISD2	6
CISH	4
CIT	17
CITED2	19
CIZ1	3
CKAP2L	7
CKAP5	3
CKB	4
CKM	2
CKMT2	2
CLASP1	4
CLASP2	3
CLCA1	2
CLCA2	4
CLCA4	1
CLCF1	4
CLCN1	321
CLCN2	47
CLCN3	1
CLCN4	19
CLCN5	275
CLCN6	4
CLCN7	113
CLCNKA	7
CLCNKB	160
CLDN1	4
CLDN10	8
CLDN14	16
CLDN16	69
CLDN19	22
CLDN2	1
CLDN4	1
CLDN6	1
CLDN8	1
CLDN9	1
CLEC11A	1
CLEC12B	1
CLEC16A	3
CLEC1A	1
CLEC2D	2
CLEC3A	2
CLEC3B	1
CLEC4C	1
CLEC4F	1
CLEC4M	4
CLEC7A	1
CLECL1	1
CLHC1	1
CLIC2	3
CLIC5	2
CLIC6	1
CLIP1	3
CLIP2	1
CLIP3	1
CLK2	2
CLMN	1
CLMP	14
CLN3	81
CLN5	57
CLN6	100
CLN8	50
CLNK	2
CLNS1A	1
CLOCK	5
CLP1	2
CLPB	26
CLPP	13
CLPS	1
CLPTM1	4
CLPTM1L	2
CLPX	3
CLRN1	39
clrn1tv4	2
CLRN2	2
CLSPN	4
CLSTN1	1
CLSTN2	4
CLSTN3	2
CLTA	1
CLTC	14
CLTCL1	25
CLU	23
CLUAP1	4
CLUH	2
CLUL1	1
CLYBL	1
CMA1	2
CMAS	1
CMC2	1
CMIP	4
CMPK1	2
CMPK2	2
CMTR1	1
CMYA5	7
CNBP	1
CNDP1	3
CNDP2	3
CNGA1	35
CNGA2	2
CNGA3	165
CNGA4	2
CNGB1	74
CNGB3	130
CNKSR1	2
CNKSR2	11
CNKSR3	2
CNN2	2
CNNM1	1
CNNM2	9
CNNM3	1
CNNM4	29
CNOT1	6
CNOT11	1
CNOT2	3
CNOT3	26
CNOT4	3
CNOT6	1
CNOT8	1
CNP	1
CNPY2	1
CNPY3	6
CNR1	30
CNR2	4
CNST	2
CNTF	1
CNTFR	1
CNTLN	2
CNTN1	2
CNTN2	6
CNTN3	4
CNTN4	17
CNTN5	11
CNTN6	66
CNTNAP1	24
CNTNAP2	92
CNTNAP3	1
CNTNAP4	7
CNTNAP5	9
CNTRL	4
CNTROB	1
COA3	2
COA5	1
COA6	3
COA7	7
COASY	5
COBL	3
COBLL1	2
COCH	31
COG1	3
COG2	4
COG4	6
COG5	18
COG6	14
COG7	6
COG8	8
COL10A1	57
COL11A1	122
COL11A2	63
COL12A1	21
COL13A1	16
COL14A1	1
COL15A1	8
COL16A1	1
COL17A1	121
COL18A1	37
col18a1l	10
col18a1tv3	1
COL19A1	1
COL1A1	1169
COL1A2	598
COL20A1	4
COL22A1	7
COL23A1	2
COL24A1	1
COL25A1	4
COL27A1	12
COL2A1	591
COL3A1	708
COL4A1	168
COL4A2	19
COL4A3	290
COL4A3BP	8
COL4A4	261
COL4A5	1169
COL4A6	7
COL5A1	199
COL5A2	44
COL5A3	3
COL6A1	191
COL6A2	241
col6a2tv2c2a	1
COL6A3	242
COL6A4P1	2
COL6A5	11
COL6A6	4
COL7A1	873
COL8A2	10
COL9A1	8
COL9A2	17
COL9A3	24
COLCA2	3
COLEC10	4
COLEC11	13
COLEC12	2
COLGALT1	5
COLGALT2	2
COLQ	70
colqtv2	1
COMMD1	1
COMP	191
COMT	15
COP1	2
COPA	9
COPB2	4
COPG1	1
COPS2	1
COQ2	38
COQ4	23
COQ5	2
COQ6	18
coq6ib	2
COQ7	7
COQ8A	56
COQ8B	29
COQ9	5
CORIN	10
CORO1A	11
CORO2B	1
CORO7	1
COX10	13
COX11	1
COX14	1
COX15	5
COX20	5
COX4I1	4
COX4I2	1
COX5A	1
COX6A1	1
COX6A2	2
COX6B1	3
COX6B2	1
COX7A1	1
COX7A2	1
COX7A2L	1
COX7B	5
COX7C	1
COX8A	1
COX8C	1
CP	65
CPA1	48
CPA4	2
CPA6	17
CPAMD8	7
CPB1	9
CPB2	8
CPD	2
CPE	4
CPEB1	6
CPEB3	1
CPEB4	1
CPLANE1	125
CPLX1	3
CPLX2	1
CPN1	3
CPNE2	1
CPNE4	1
CPNE6	1
CPOX	76
CPPED1	1
CPQ	1
CPS1	280
CPSF1	6
CPT1A	53
CPT1B	5
CPT1C	4
CPT2	115
CPVL	6
CPXM1	3
CPXM2	1
CPZ	1
CR1	32
CR1L	2
CR2	20
CRACR2A	1
CRACR2B	1
CRADD	7
CRAMP1	1
CRAT	2
CRB1	367
crb1a	3
CRB2	27
CRBN	6
CREB1	8
CREB3	1
CREB3L1	5
CREB3L3	9
creb3l3tv4	1
CREB3L4	1
CREB5	1
CREBBP	383
CREBL2	1
CREBRF	1
CRELD1	16
creld1tv1	2
CRELD2	1
CRH	3
CRHR1	4
CRHR2	2
CRIM1	4
CRIPAK	4
CRIPT	4
CRISP2	1
CRISPLD1	1
CRISPLD2	3
CRK	3
CRKL	16
CRLF1	37
CRLF3	2
CRMP1	2
CROCC	2
CRP	12
CRPPA	55
CRTAP	32
CRTC3	2
CRX	117
CRY1	3
CRY2	4
CRYAA	28
CRYAB	32
CRYBA1	14
CRYBA2	2
CRYBA4	11
CRYBB1	20
CRYBB2	30
CRYBB3	7
CRYBG3	4
CRYGA	2
CRYGB	3
CRYGC	31
CRYGD	28
CRYGEP	1
CRYGS	9
CRYL1	1
CRYM	4
CRYZ	2
CRYZL1	1
CSAD	2
CSDE1	3
CSF1	3
CSF1R	125
CSF2	2
CSF2RA	17
CSF2RB	6
CSF3R	20
CSGALNACT1	5
CSH1	4
CSK	2
CSMD1	46
CSMD2	4
CSMD3	11
CSNK1D	3
CSNK1E	6
CSNK1G1	3
CSNK1G3	8
CSNK2A1	22
CSNK2A2	2
CSNK2A3	1
CSNK2B	7
CSPG4	3
CSPP1	30
CSRP1	1
CSRP2	1
CSRP3	36
CST3	6
CST6	1
CST9	2
CSTA	8
CSTB	15
CSTF2	1
CSTF2T	2
CSTF3	1
CT45A5	1
CT45A9	1
CT47B1	1
CTBP1	1
CTBP2	8
CTC1	44
CTCF	20
CTCFL	1
ctd-2378e21.1	1
CTDP1	1
CTDSP1	1
CTF1	2
CTH	10
CTHRC1	1
CTIF	1
CTLA4	75
CTNNA1	16
CTNNA2	7
ctnna2i2	1
CTNNA3	56
CTNNB1	66
CTNND1	18
CTNND2	39
CTNS	168
CTPS1	4
CTPS2	1
CTR9	8
CTRB1	2
CTRC	52
CTRL	1
CTSA	40
CTSB	6
CTSC	106
CTSD	20
CTSF	11
CTSG	1
CTSH	1
CTSK	59
CTSL	1
CTSZ	2
CTTN	1
CTTNBP2	34
CTU2	6
CUBN	62
CUL1	1
CUL2	1
CUL3	35
CUL4B	41
CUL5	1
CUL7	95
CUL9	5
CUX1	9
CUX2	3
CUZD1	1
CWC22	1
CWC27	7
CWF19L1	6
CWF19L2	1
CX3CL1	1
CX3CR1	5
CXCL10	1
CXCL11	1
CXCL12	1
cxcl12tv1	1
CXCL16	2
CXCL5	2
CXCL8	4
CXCR1	8
CXCR2	6
CXCR3	1
cxcr3tv2	1
CXCR4	16
cxcr4tv1	3
CXorf56	1
CXXC1	1
CYB561	2
CYB5A	7
CYB5R2	1
CYB5R3	78
CYB5R4	2
CYBA	81
CYBB	814
CYBC1	1
CYBRD1	4
CYC1	2
CYCS	4
CYFIP1	8
CYFIP2	11
CYLD	115
CYP11A1	41
CYP11B1	171
CYP11B2	58
CYP17A1	137
CYP19A1	76
CYP1A1	11
CYP1A2	19
CYP1B1	274
CYP21A2	359
CYP24A1	47
CYP26A1	5
CYP26B1	13
CYP26C1	14
CYP27A1	118
CYP27B1	85
CYP27C1	3
CYP2A13	9
CYP2A6	38
CYP2B6	31
CYP2C18	2
CYP2C19	61
CYP2C8	9
CYP2C9	66
CYP2D6	90
CYP2D7	1
CYP2E1	10
CYP2F1	2
CYP2G1P	2
CYP2G2P	2
CYP2J2	7
CYP2R1	6
CYP2U1	21
CYP2W1	1
CYP39A1	5
CYP3A4	35
CYP3A43	5
CYP3A5	16
CYP3A51P	1
CYP3A7	3
CYP46A1	3
CYP4A11	10
CYP4A22	2
CYP4B1	1
CYP4F11	2
CYP4F12	4
CYP4F2	4
CYP4F22	51
CYP4F3	1
CYP4V2	105
CYP4Z1	1
CYP51A1	7
CYP7A1	4
CYP7B1	69
CYSLTR1	3
CYSLTR2	2
CYTH1	1
CYTL1	1
CZIB	1
D2HGDH	46
DAAM1	5
DAAM2	7
DAB1	2
DAB2	3
DAB2IP	3
DACH1	1
DACH2	1
DACT1	9
DAG1	12
DAGLA	23
DAGLB	1
DALRD3	2
DAND5	1
DAO	13
DAOA	1
DAP3	3
DAPK1	6
DAPK3	1
DAPP1	1
DARS	18
DARS2	66
DAW1	3
DAZ1	4
DAZ2	2
DAZ4	1
DAZL	4
DBF4B	2
DBH	26
DBI	1
DBNL	5
DBR1	5
DBT	84
DBX1	1
DBX2	1
DCAF1	1
DCAF10	1
DCAF11	2
DCAF12	1
DCAF12L1	1
DCAF13	6
DCAF15	1
DCAF17	21
DCAF4	2
DCAF4L2	3
DCAF5	1
DCAF6	1
DCAF7	1
DCAF8	1
DCAKD	2
DCBLD1	1
DCBLD2	2
DCC	42
DCDC2	11
DCDC2B	1
DCDC5	3
DCHS1	29
DCHS2	11
DCK	3
DCLK1	2
DCLK2	1
DCLK3	1
DCLRE1A	3
DCLRE1B	1
DCLRE1C	99
DCN	6
DCP1B	2
DCPS	4
DCST1	1
DCST2	1
DCSTAMP	1
DCTD	1
DCTN1	60
DCTN2	3
DCTN4	3
DCTN5	1
DCUN1D3	1
DCX	150
DCXR	2
dcxtv1	2
DDAH1	2
DDAH2	2
DDB1	2
DDB2	17
DDC	64
DDHD1	13
ddhd1tv3	3
DDHD2	21
DDI1	1
DDO	2
DDOST	2
DDR1	1
DDR2	13
DDRGK1	1
DDTL	1
DDX1	1
DDX10	3
DDX11	16
DDX20	3
DDX23	3
DDX24	4
DDX25	2
DDX27	1
DDX39B	2
DDX3X	95
DDX3Y	1
DDX41	31
DDX42	1
DDX46	1
DDX47	1
DDX5	2
DDX50	3
DDX53	5
DDX54	5
DDX58	11
DDX59	6
DDX6	6
DDX60	3
DEAF1	41
DEC1	1
DEF6	2
DEFA1	5
DEFA1A3	1
DEFA3	1
DEFA4	2
DEFB1	8
DEFB124	1
DEFB126	2
DEFB131A	1
DEFB4A	2
DEGS1	15
DEGS2	1
DENND1A	1
DENND2A	2
DENND2C	1
DENND3	3
DENND4A	2
DENND4B	1
DENND5A	9
DENND5B	1
DENR	2
DEPDC5	133
DEPDC7	2
DEPTOR	2
DES	133
DESI2	2
DGAT1	15
DGAT2	3
DGAT2L6	3
DGCR2	3
DGCR5	1
DGCR6	3
DGCR8	2
DGKA	4
DGKB	1
DGKD	5
DGKE	42
DGKG	1
DGKH	1
DGKQ	1
DGKZ	2
DGUOK	72
DHCR24	10
DHCR7	223
DHDDS	8
DHDH	1
DHFR	9
DHH	22
DHODH	20
DHPS	4
DHRS3	1
DHRS4L1	1
DHRS4L2	1
DHTKD1	25
DHX15	1
DHX16	5
DHX29	1
DHX30	6
DHX32	2
DHX34	4
DHX36	2
DHX37	9
DHX38	3
DHX40	1
DHX57	1
DHX58	1
DHX8	1
DHX9	1
DIABLO	2
DIAPH1	15
DIAPH2	5
DIAPH3	10
DICER1	186
DIDO1	2
DIO1	2
DIO2	2
DIP2A	5
DIP2B	7
DIP2C	4
DIPK2B	1
DIRAS2	1
DIRC3	1
DIS3	20
DIS3L2	16
DISC1	32
DISP1	12
DISP3	2
DKC1	77
DKK1	4
DKK2	1
DKK3	1
DKK4	1
DLAT	6
DLC1	27
DLD	23
DLEC1	4
dlec1tv3	1
DLEU7	1
DLG1	23
DLG2	29
dlg2tv2	16
dlg2tv3	1
DLG3	19
dlg3tv2	1
DLG4	13
DLG5	7
DLGAP1	10
DLGAP2	18
DLGAP3	7
DLGAP4	1
DLGAP5	1
DLK1	9
DLL1	32
DLL3	27
DLL4	20
DLST	6
DLX1	1
DLX3	12
DLX4	2
DLX5	12
DLX6	6
DMAC1	1
DMAC2	1
DMAP1	1
DMBT1	4
DMBX1	3
DMC1	2
DMD	4227
DMGDH	4
DMKN	1
DMP1	12
DMPK	8
DMRT1	21
DMRT2	1
DMRT3	2
DMRTA1	1
DMRTA2	1
DMTN	1
DMXL1	9
DMXL2	23
DNA2	15
DNAAF1	41
DNAAF2	6
DNAAF3	16
DNAAF4	22
DNAAF5	5
DNAH1	55
DNAH10	19
DNAH11	174
DNAH12	3
DNAH14	4
DNAH17	13
DNAH2	10
DNAH3	2
DNAH5	232
DNAH6	19
DNAH7	18
DNAH8	12
DNAH9	20
DNAI1	42
DNAI2	7
DNAJA1	1
DNAJA2	1
DNAJA3	1
DNAJB11	6
DNAJB13	3
DNAJB2	5
DNAJB5	2
DNAJB6	31
DNAJB9	1
DNAJC12	11
DNAJC13	20
DNAJC17	2
DNAJC19	6
DNAJC2	1
DNAJC21	13
DNAJC28	1
DNAJC3	4
DNAJC5	2
DNAJC6	15
DNAJC7	1
DNAJC9	1
DNAL1	5
DNAL4	1
DNASE1	41
DNASE1L1	1
DNASE1L2	62
DNASE1L3	11
DNASE2	13
DNASE2B	1
DND1	1
DNHD1	11
DNM1	33
DNM1L	28
DNM2	54
DNM3	4
DNMBP	9
DNMT1	27
DNMT3A	83
DNMT3B	66
dnmt3bdel	1
DNMT3L	2
DNPEP	1
DNTT	3
DOC2A	1
DOCK1	1
DOCK10	1
DOCK2	11
DOCK3	10
DOCK4	5
DOCK5	5
DOCK6	33
DOCK7	12
DOCK8	217
DOCK9	3
DOHH	1
DOK2	1
DOK3	1
DOK4	1
DOK7	77
DOLK	13
DONSON	26
DOP1A	3
DOT1L	4
DPAGT1	43
DPEP2	2
DPF2	10
DPH1	7
DPH3	1
DPH7	1
DPM1	10
DPM2	2
DPM3	3
DPP10	4
DPP3	1
DPP4	9
DPP6	12
dpp6i1	22
dpp6i3	2
DPP8	1
DPP9	1
DPT	2
DPY19L2	29
DPYD	127
DPYS	32
DPYSL2	8
DPYSL3	3
DPYSL5	5
DRAM2	13
DRC1	9
DRD1	12
DRD2	13
DRD3	3
DRD4	12
DRD5	5
DRG1	3
DRG2	1
DROSHA	9
DRP2	3
DSC2	92
DSC3	3
DSCAM	42
DSCAML1	7
DSE	3
DSEL	1
DSG1	40
DSG2	146
DSG3	2
DSG4	19
DSP	337
DSPP	59
DST	9
dst1eA	2
dsttv2	7
DSTYK	12
DTHD1	1
DTNA	8
dtnatv7	2
DTNB	1
DTNBP1	5
DTWD2	1
DTX1	1
DTX4	1
DTYMK	2
DUOX1	8
DUOX2	192
DUOXA1	3
DUOXA2	25
DUS1L	1
DUS2	1
DUSP1	1
DUSP13	1
DUSP14	2
DUSP15	2
DUSP22	4
DUSP23	2
DUSP3	2
DUSP6	6
DUT	1
DUX4L1	4
DVL1	19
DVL2	7
DVL3	16
DXO	1
DYDC2	1
DYM	42
DYNAP	1
DYNC1H1	104
DYNC1I1	8
DYNC1I2	4
DYNC1LI2	1
DYNC2H1	223
DYNC2LI1	16
DYNLRB2	1
DYRK1A	95
dyrk1atv3	7
DYRK1B	3
DYRK4	1
DYSF	621
dysftv11	3
dyt3	1
DYTN	1
DYX1	2
DZIP1	6
DZIP1L	5
DZIP3	1
E2F1	9
E2F2	1
E2F4	1
E2F6	1
E2F8	1
EAPP	1
EARS2	31
EBAG9	1
EBF1	1
EBF2	4
EBF3	27
EBLN1	1
EBP	94
ECD	1
ECE1	7
ECE2	1
ECEL1	40
ECH1	1
ECHDC3	1
ECHS1	43
ECI1	4
ECM1	67
ECM2	1
ECPAS	2
ECSIT	2
ECT2L	1
EDA	341
EDA2R	4
EDAR	69
EDARADD	11
EDC3	1
EDC4	3
EDEM1	1
EDEM2	1
EDIL3	1
EDN1	13
EDN2	2
EDN3	22
EDNRA	10
EDNRB	77
ednrbv2	1
EDRF1	2
EEA1	2
EED	11
EEF1A2	14
EEF1AKNMT	1
EEF1B2	1
EEF1D	2
EEF1DP3	1
EEF1G	2
EEF2	4
EEF2K	1
EEPD1	2
EFCAB12	1
EFCAB13	5
EFCAB3	1
EFCAB5	1
efcab5tv1	1
EFCAB6	3
EFCAB7	1
EFEMP1	9
EFEMP2	18
EFHC1	38
EFHC2	2
EFL1	7
EFNA1	2
EFNA2	1
EFNA3	1
EFNA4	2
EFNA5	4
EFNB1	125
EFNB2	7
EFNB3	1
EFR3A	1
EFR3B	1
EFTUD2	108
EGF	11
EGFL6	1
EGFL7	1
EGFLAM	1
EGFR	34
egfrtv4	1
EGLN1	69
EGLN2	7
EGR1	1
EGR2	26
EGR3	2
EHBP1	3
EHD1	2
EHD2	1
EHHADH	3
EHMT1	111
EHMT2	2
EI24	1
EID1	2
EIF2AK2	1
EIF2AK3	95
EIF2AK4	97
EIF2B1	9
EIF2B2	31
EIF2B3	24
EIF2B4	33
EIF2B5	101
EIF2S3	6
EIF3B	2
EIF3C	1
EIF3E	1
EIF3F	1
EIF3G	2
EIF3H	6
EIF3J	1
EIF4A1	2
EIF4A2	2
EIF4A3	2
EIF4E	1
EIF4E1B	1
EIF4ENIF1	2
EIF4G1	23
EIF4G2	4
EIF5	1
EIF5A2	1
ELAC2	35
ELANE	231
ELAVL2	3
ELAVL3	2
ELF2	2
ELF4	2
ELK1	3
ELL	2
ELL2	5
ELMO1	1
ELMO2	5
ELMO3	1
ELMOD1	1
ELMOD3	3
ELN	130
ELOA	2
ELOVL1	2
ELOVL4	19
ELOVL5	5
ELP1	6
ELP2	6
ELP3	1
ELP4	28
EMC1	7
EMC4	2
EMC8	2
EMD	117
EME1	2
EME2	2
EMG1	1
EMID1	1
EMILIN1	2
EMILIN2	3
EML1	7
EML3	1
EML4	1
EML6	1
EMP2	3
EMSY	2
EMX2	6
EN1	1
EN2	11
ENAH	1
ENAM	19
ENDOG	1
ENDOV	1
ENG	517
engtv2	1
ENHO	3
ENO1	2
ENO2	2
ENO3	6
ENOX1	2
ENPP1	80
ENPP2	1
ENSA	1
ENTPD1	8
ENTPD6	1
EOGT	9
EOMES	2
EP300	121
EP400	9
EPAS1	39
EPB41	15
EPB41L1	4
EPB41L3	2
EPB41L4A	1
EPB41L4B	1
EPB41L5	1
epb41tv1	1
EPB42	19
EPC1	2
EPC2	1
EPCAM	99
EPG5	75
EPHA1	9
EPHA2	22
EPHA3	6
EPHA4	5
EPHA5	8
EPHA6	3
EPHA7	2
EPHB1	3
EPHB2	14
EPHB4	64
EPHB6	1
EPHX1	10
EPHX2	8
EPM2A	83
EPN2	1
EPO	6
EPOR	34
EPPIN	1
EPPK1	3
EPRS	6
EPS15	2
EPS15L1	1
EPS8	3
EPS8L2	2
EPS8L3	2
EPX	5
EPYC	1
ERAL1	1
ERAP1	13
erap1ib	1
ERAP2	5
ERBB2	15
ERBB3	6
ERBB4	26
ERBIN	5
ERC1	7
ERC2	1
ERCC1	8
ERCC2	115
ERCC3	25
ERCC4	75
ERCC5	61
ERCC6	144
ERCC6-PGBD3	3
ERCC6L	1
ERCC6L2	14
ERCC8	70
ERF	28
ERG	4
ERGIC1	2
ERGIC2	1
ERI1	1
ERI3	1
ERICH3	1
ERLIN1	4
ERLIN2	18
ERMAP	7
ERMARD	2
ERMP1	1
ERP44	1
ERVMER34-1	2
ESAM	2
ESCO1	1
ESCO2	32
ESD	1
ESPL1	3
ESPN	21
ESR1	40
ESR2	24
ESRP1	2
ESRP2	5
ESRRA	1
ESRRB	24
ESRRG	2
esrrgtv16	2
ESS2	1
ESYT3	1
ETF1	1
ETFA	34
ETFB	17
etfbtv2	4
ETFDH	220
ETHE1	37
ETNPPL	2
ETS1	11
ETS2	2
ETV1	3
ETV3	1
ETV3L	1
ETV4	4
ETV5	1
etv5sv	1
ETV6	45
EVC	87
EVC2	82
EVI5	4
EVI5L	1
EVPL	1
EWSR1	8
EXD2	1
EXD3	1
EXO1	20
EXO5	2
EXOC1	1
EXOC2	1
EXOC3L1	1
EXOC3L2	3
EXOC3L4	4
EXOC4	3
EXOC5	1
EXOC6B	8
EXOC7	2
EXOC8	1
EXOSC2	3
EXOSC3	19
EXOSC4	1
EXOSC5	1
EXOSC8	3
EXOSC9	2
EXPH5	10
EXT1	567
EXT2	281
EXTL1	3
EXTL3	9
EYA1	237
EYA4	34
EYS	390
EZH1	2
EZH2	43
EZR	5
F10	174
F11	277
F12	58
F13A1	196
F13B	20
F2	71
F2R	6
F2RL1	1
F2RL3	3
F3	3
F5	184
F7	332
F8	3292
F9	1306
FA2H	65
FAAH	6
FAAH2	4
FAAP24	3
FABP1	2
FABP2	3
FABP3	2
FABP4	3
FABP6	1
FABP7	7
FADD	3
FADS1	3
FADS2	4
FADS3	1
FAF1	1
FAF2	2
FAH	105
FAHD1	2
FAIM	1
FAM110B	1
FAM111A	10
FAM111B	9
FAM114A2	1
FAM120A	3
FAM120AOS	1
FAM120B	2
FAM120C	1
FAM126A	12
FAM129B	1
FAM135B	1
FAM136A	2
FAM13A	3
FAM13B	1
FAM13C	1
FAM149A	1
FAM149B1	2
FAM151A	4
FAM160A1	1
FAM160B1	4
FAM160B2	1
FAM161A	23
FAM161B	1
FAM166A	1
FAM168A	1
FAM168B	1
FAM169A	2
FAM174B	1
FAM177A1	1
FAM177B	1
FAM180B	1
FAM183A	1
FAM184B	1
FAM186A	2
FAM186B	1
FAM189A2	1
FAM189B	5
FAM200B	1
FAM205A	1
FAM20A	42
FAM20B	3
FAM20C	31
FAM214A	1
FAM214B	1
FAM219A	1
FAM222A	1
FAM222B	1
FAM234B	1
FAM24B	1
FAM27E5	1
FAM3C	1
FAM3D	1
FAM45A	1
FAM47A	4
FAM47B	2
FAM47C	1
FAM47E	2
FAM71A	2
FAM71C	1
FAM81B	1
FAM83C	2
FAM83G	4
FAM83H	34
FAM86B2	1
FAM8A1	1
FAM91A1	2
FAM92A	2
FAM92B	3
FAM98A	1
FAM98C	1
FAM9C	2
FAN1	22
FANCA	705
FANCB	23
FANCC	77
FANCD2	69
FANCE	18
FANCF	19
FANCG	93
FANCI	56
FANCL	26
FANCM	61
FANK1	1
FAP	3
FAR1	4
FARP1	1
FARP2	1
FARS2	29
FARSA	2
FARSB	4
FAS	150
FASLG	11
FASN	9
FASTKD2	5
fastkd2i1	1
FASTKD5	1
FAT1	50
FAT2	6
FAT3	18
FAT4	41
FATE1	2
FAXDC2	1
FBH1	3
FBLIM1	5
FBLN1	5
FBLN2	5
FBLN5	24
FBLN7	2
FBN1	2890
FBN2	126
FBN3	8
FBP1	55
FBXL16	1
FBXL17	1
FBXL18	1
FBXL19	2
FBXL20	1
FBXL22	1
FBXL3	3
FBXL4	51
FBXL6	1
FBXO10	2
FBXO11	46
FBXO15	2
FBXO16	1
FBXO2	1
FBXO21	2
FBXO22	1
FBXO24	1
FBXO25	2
FBXO28	2
FBXO30	1
FBXO31	3
FBXO32	2
FBXO38	5
FBXO39	1
FBXO43	6
FBXO45	2
FBXO47	2
FBXO7	22
FBXW11	11
FBXW4	9
FBXW5	1
FBXW7	8
FBXW9	1
FCAR	7
FCER1A	4
FCER2	2
FCGBP	2
FCGR1A	1
FCGR2A	6
FCGR2B	7
FCGR2C	5
FCGR3A	7
FCGR3B	7
fcgr3btv1	1
FCGRT	1
FCHO1	6
FCN1	6
FCN2	8
FCN3	4
FCRL2	1
FCRL3	4
FCRL4	1
FCRL6	1
FDFT1	6
FDPS	6
FDX2	2
FDXR	23
FECH	196
FEM1A	1
FEM1B	1
FEN1	4
FENDRR	1
FER	1
FER1L5	2
FERMT1	86
FERMT2	1
FERMT3	16
FEV	1
FEZ1	2
FEZF1	3
FEZF2	4
FFAR1	4
FFAR4	1
FGA	162
fgae	4
FGB	103
FGD1	52
FGD3	1
FGD4	32
FGD5	1
FGD6	6
FGF1	3
FGF10	19
FGF12	12
FGF13	5
FGF14	11
fgf14tv2	2
FGF16	8
FGF17	6
FGF18	1
FGF19	1
FGF2	5
FGF20	3
FGF22	2
FGF23	23
FGF3	24
FGF4	1
FGF5	5
FGF6	3
FGF7	1
FGF8	43
FGF9	3
FGFBP1	3
FGFBP2	1
FGFR1	282
fgfr18a	3
fgfr1tv5	1
FGFR2	159
FGFR3	79
FGFR4	4
FGFRL1	8
FGG	145
FGGY	4
FGL1	3
FGR	12
FH	233
FHIT	4
FHL1	67
fhl1tv1	1
fhl1tv7	1
FHL2	9
FHOD3	13
fhod3tv3	24
FIBIN	4
FIBP	2
FIG4	76
FIGLA	6
FILIP1	1
FIP1L1	2
FITM2	4
FKBP10	52
FKBP14	8
FKBP1A	1
FKBP5	3
FKBP6	6
FKBP8	1
FKBPL	6
FKRP	160
FKTN	59
FLAD1	14
FLCN	226
flcntv2	2
FLG	115
flg10.2	2
flg11	1
FLG2	4
FLI1	8
FLII	3
FLNA	306
flnatv2	2
FLNB	126
FLNC	180
FLOT1	1
FLRT1	1
FLRT2	1
FLRT3	7
FLT1	7
FLT3	5
FLT4	122
FLVCR1	22
FLVCR2	17
FLYWCH1	1
FMC1	1
FMN1	7
fmn1tv3	1
FMN2	11
FMNL1	1
FMNL2	1
FMO1	7
FMO2	12
FMO3	94
FMO4	4
FMO5	1
FMO6P	3
FMOD	2
FMR1	85
FN1	35
FN3K	3
FN3KRP	4
FNBP1	1
FNBP1L	1
FNBP4	5
FNDC3A	1
FNDC3B	8
FNDC5	1
FNDC7	1
FNIP1	3
FNIP2	1
FOCAD	10
FOLH1	3
FOLR1	28
FOLR3	5
FOS	2
FOSL2	1
FOXA1	3
FOXA2	10
FOXA3	7
FOXC1	158
FOXC2	101
FOXD1	6
FOXD3	4
FOXD4	1
FOXE1	31
FOXE3	32
FOXF1	137
FOXF2	4
