gene	AF5	AF4	AF3	AF2	FUNC	SYN
AC005544.1	35	8	2	1	100	37
AC005549.3	0	1	0	0	4	9
AC005559.2	0	0	0	0	2	0
AC005562.1	1	0	0	0	1	0
AC005594.3	0	0	0	0	1	0
AC005606.1	0	2	0	1	3	0
AC005609.1	42	3	7	3	161	66
AC005841.1	64	18	5	0	182	77
AC005863.1	0	0	0	0	2	0
AC005954.4	0	0	0	0	1	0
AC006014.8	1	0	0	0	2	0
AC006115.3	1	0	0	0	1	0
AC006116.20	0	0	0	2	2	2
AC006262.10	0	0	0	0	1	0
AC006277.2	0	0	0	0	3	0
AC006372.1	33	8	1	1	82	24
AC006435.1	31	6	1	2	127	35
AC006449.1	0	5	0	0	5	1
AC006455.1	14	2	1	1	18	8
AC006460.2	0	0	0	0	2	0
AC006486.1	36	7	1	2	101	34
AC006538.4	7	2	0	0	17	9
AC006547.14	77	14	3	0	171	77
AC006946.15	20	2	0	1	43	13
AC007040.11	0	1	0	0	1	0
AC007193.10	0	0	0	0	1	0
AC007204.1	14	0	0	2	35	15
AC007204.2	0	0	0	0	1	0
AC007216.2	0	1	0	0	1	0
AC007271.3	0	0	0	0	1	0
AC007292.6	0	0	0	0	1	0
AC007382.1	0	0	0	1	1	0
AC007401.2	23	3	1	0	49	14
AC007421.1	2	0	0	0	2	1
AC007461.1	0	0	0	3	3	1
AC007557.1	14	1	0	0	36	12
AC007563.1	1	0	0	0	1	0
AC007743.1	1	0	0	0	1	0
AC007952.5	27	7	2	2	67	27
AC007956.1	23	7	2	2	76	37
AC007966.1	0	1	0	0	1	0
AC008060.7	21	6	3	1	70	22
AC008132.1	9	5	4	0	18	6
AC008132.13	87	20	11	10	161	65
AC008174.3	0	0	0	0	1	0
AC008267.1	11	4	1	2	18	6
AC008271.1	18	2	1	1	55	21
AC008372.1	1	0	0	0	1	1
AC008387.1	0	0	0	1	1	0
AC008394.1	22	9	3	2	44	17
AC008686.1	17	5	1	5	36	8
AC008738.1	3	2	0	0	6	0
AC008937.2	0	1	0	0	1	0
AC008948.1	0	1	2	1	4	3
AC008964.1	0	2	0	0	2	1
AC009041.2	0	0	0	1	4	0
AC009052.12	1	0	0	0	2	0
AC009060.1	0	0	0	1	1	0
AC009065.1	33	4	0	1	64	14
AC009120.6	1	0	0	0	3	0
AC009133.15	0	1	0	0	1	0
AC009133.20	1	0	0	0	2	0
AC009134.1	0	0	0	1	2	0
AC009228.1	1	0	0	0	2	0
AC009237.8	0	0	0	0	1	0
AC009303.1	0	0	0	0	3	0
AC009365.3	28	6	2	0	76	27
AC009403.2	9	6	0	0	39	11
AC009487.4	0	0	0	0	1	0
AC009487.5	1	0	0	0	1	0
AC009802.1	1	0	0	0	6	3
AC009892.10	8	8	2	3	35	17
AC009948.5	1	0	0	0	1	0
AC010127.3	3	0	0	0	6	0
AC010170.1	0	5	2	0	7	0
AC010327.2	79	15	3	2	112	24
AC010336.1	4	2	0	0	16	0
AC010441.1	23	4	2	4	79	31
AC010536.1	91	20	5	3	224	91
AC010547.9	2	0	0	0	3	0
AC010642.1	34	4	0	2	55	25
AC010731.4	1	0	0	0	1	0
AC010761.10	0	0	0	0	1	0
AC010761.9	0	0	0	0	1	0
AC010883.5	1	0	0	0	1	0
AC010976.2	1	0	0	0	1	0
AC011239.1	30	10	1	0	50	21
AC011294.3	20	2	1	2	44	15
AC011298.1	0	6	0	4	10	3
AC011298.2	2	0	0	0	3	0
AC011308.1	0	0	0	0	5	0
AC011330.5	3	0	0	0	4	0
AC011366.3	5	1	0	0	21	5
AC011475.1	8	1	0	0	11	3
AC011484.1	26	4	0	2	126	38
AC011500.1	32	5	2	2	86	18
AC011525.4	1	0	0	1	2	0
AC011526.1	0	0	0	0	1	0
AC011530.4	0	1	0	0	2	0
AC011551.3	0	0	0	1	1	0
AC011718.2	3	0	0	1	4	0
AC011755.1	0	0	0	2	2	0
AC011897.1	22	3	1	0	72	24
AC011997.1	6	1	0	0	14	1
AC012123.1	39	4	2	1	59	27
AC012215.1	19	0	0	0	35	17
AC012313.1	62	12	4	3	162	70
AC012314.8	0	1	0	0	2	0
AC012317.1	1	0	0	0	1	0
AC012358.8	1	0	0	0	1	0
AC012379.1	0	0	0	0	3	0
