"","V1","V2","V3","V4","V5","V6","V7"
"1",-422991.341727343,665098.757517479,-570610.225109627,98150.593341737,212618.263976031,-435503.782995071,312700.585797859
"2",-3.35840973284162,3.93054239420585,-1.81929977233652,-0.114704638612642,-2.17125275285562,1.88991966840972,-0.222916535885535
"3",-3.10958509490764,2.59581661684712,0.195064415572562,-1.18107315270423,-2.06432569045827,1.71404724514934,-0.121614041626728
"4",-2.56333505694396,0.763898484615855,2.50617410674265,-2.26474596392224,-2.02709065351935,1.6520674505755,-0.0851148526770881
"5",-1.94599413327757,-1.16857908915182,4.85651603624538,-3.32999997708451,-2.0078081331083,1.61988277176609,-0.0661171020637435
"6",-1.30048566280078,-3.13753924806102,7.2162347989206,-4.38352428169178,-1.99575264160742,1.59974371582173,-0.0542453869106737
"7",-0.640400667203153,-5.12548051538631,9.58097279809929,-5.43114076313732,-1.98741885572392,1.58581272552921,-0.0460423023860255
"8",0.0284371019576746,-7.12544492517724,11.9498927577825,-6.47608741489684,-1.98129667275951,1.57556649234555,-0.0400086210393571
"9",0.702549290613414,-9.1326185978583,14.3213493661099,-7.51956999271166,-1.97655659422813,1.5676673502568,-0.0353804606784809
"10",1.38078174501192,-11.1462386559922,16.6962384735066,-8.56286213951355,-1.97282158419321,1.56142267030828,-0.0317113973133534
"11",2.06180607902182,-13.1642329924468,19.0735005429145,-9.6061094711345,-1.96978792012858,1.55635056719851,-0.0287319557582438
"12",2.74494882671574,-15.1856840539539,21.4528180145102,-10.6494981094621,-1.96727994523066,1.55215260682364,-0.0262639881916262
"13",3.42961290180843,-17.2095608231645,23.83352557711,-11.6929666860115,-1.96516156366366,1.54861328686075,-0.0241867387089003
"14",4.11553882285612,-19.2355583964942,26.2155770411804,-12.7366117069618,-1.96335598386664,1.54559428637279,-0.0224138437662009
"15",4.80249424448359,-21.2633396417586,28.59882017561,-13.7804548648163,-1.96180216768923,1.54299150806948,-0.0208828444905584
"16",5.49018010341991,-23.2922650901514,30.9827025273096,-14.8243409505184,-1.96043975786915,1.54071604990178,-0.0195479039382834
"17",6.17852861629872,-25.3223204322296,33.3673227306116,-15.8683455245908,-1.95924182201677,1.53871461561629,-0.0183733400539451
"18",6.78711966375225,-27.1793542989802,35.5964940775393,-16.8846416858273,-1.95874077502817,1.53775511143355,-0.017595366198215
